pair;round;nrTurns;success
0;0;3;true
0;1;7;true
0;2;3;false
0;3;1;false
0;4;1;true
0;5;7;false
1;0;2;true
1;1;4;true
1;2;7;true
1;3;7;true
1;4;3;false
1;5;1;false
2;0;3;true
2;1;7;true
2;2;7;false
2;3;5;false
2;4;1;true
2;5;1;true
3;0;2;true
3;1;2;false
3;2;1;true
3;3;1;true
3;4;1;true
3;5;7;false
4;0;3;true
4;1;1;true
4;2;4;true
4;3;1;true
4;4;1;true
4;5;1;true
5;0;2;true
5;1;3;true
5;2;1;true
5;3;1;true
5;4;1;true
5;5;1;true
6;0;2;true
6;1;1;true
6;2;7;true
6;3;7;false
6;4;6;false
6;5;1;false
7;0;7;false
7;1;1;true
7;2;7;true
7;3;7;false
7;4;1;false
7;5;1;false
8;0;7;false
8;1;1;true
8;2;1;true
8;3;1;true
8;4;7;true
8;5;2;true
9;0;7;true
9;1;1;true
9;2;7;false
9;3;7;true
9;4;1;false
9;5;1;false
10;0;2;true
10;1;7;false
10;2;7;false
10;3;6;false
10;4;1;true
10;5;1;false
11;0;2;true
11;1;7;true
11;2;7;true
11;3;6;true
11;4;2;true
11;5;1;true
12;0;2;true
12;1;1;true
12;2;3;true
12;3;1;true
12;4;1;true
12;5;1;true
13;0;4;true
13;1;7;false
13;2;1;true
13;3;1;true
13;4;7;false
13;5;4;true
14;0;7;false
14;1;7;false
14;2;7;true
14;3;1;false
14;4;1;false
14;5;1;true
15;0;7;false
15;1;1;true
15;2;2;true
15;3;7;false
15;4;6;true
15;5;1;false
16;0;2;true
16;1;7;false
16;2;2;true
16;3;1;true
16;4;1;true
16;5;1;false
17;0;2;true
17;1;7;false
17;2;5;true
17;3;7;false
17;4;2;false
17;5;1;false
18;0;7;true
18;1;2;true
18;2;7;true
18;3;6;false
18;4;1;false
18;5;1;true
19;0;2;false
19;1;1;true
19;2;4;true
19;3;7;true
19;4;7;true
19;5;3;false
20;0;7;false
20;1;7;true
20;2;7;true
20;3;1;true
20;4;1;false
20;5;1;true
21;0;2;true
21;1;1;true
21;2;7;true
21;3;7;false
21;4;6;false
21;5;1;true
22;0;7;false
22;1;7;true
22;2;7;false
22;3;1;false
22;4;1;false
22;5;1;false
23;0;2;true
23;1;1;true
23;2;1;true
23;3;3;true
23;4;1;false
23;5;1;true
24;0;5;true
24;1;7;false
24;2;7;true
24;3;3;false
24;4;1;true
24;5;1;false
25;0;2;false
25;1;1;false
25;2;7;false
25;3;7;false
25;4;6;false
25;5;1;false
26;0;2;true
26;1;1;true
26;2;1;true
26;3;1;true
26;4;7;false
26;5;7;false
27;0;2;true
27;1;1;true
27;2;7;false
27;3;7;true
27;4;6;true
27;5;1;false
28;0;7;false
28;1;7;true
28;2;7;true
28;3;1;true
28;4;1;false
28;5;1;true
29;0;6;false
29;1;7;true
29;2;7;false
29;3;2;false
29;4;1;true
29;5;1;false
30;0;2;true
30;1;7;true
30;2;7;true
30;3;3;true
30;4;4;true
30;5;1;false
31;0;3;true
31;1;1;true
31;2;7;false
31;3;6;true
31;4;6;false
31;5;1;true
32;0;2;true
32;1;1;true
32;2;6;true
32;3;7;false
32;4;7;false
32;5;1;false
33;0;2;true
33;1;6;false
33;2;2;false
33;3;7;false
33;4;6;false
33;5;1;false
34;0;7;false
34;1;3;true
34;2;7;false
34;3;5;true
34;4;1;false
34;5;1;false
35;0;2;true
35;1;2;true
35;2;3;false
35;3;1;true
35;4;1;false
35;5;1;true
36;0;7;false
36;1;3;true
36;2;2;true
36;3;7;false
36;4;4;false
36;5;1;false
37;0;3;true
37;1;7;false
37;2;3;true
37;3;1;true
37;4;3;true
37;5;7;false
38;0;2;true
38;1;7;false
38;2;1;true
38;3;3;true
38;4;1;false
38;5;3;true
39;0;2;true
39;1;7;false
39;2;7;true
39;3;6;false
39;4;1;false
39;5;1;true
40;0;7;true
40;1;7;false
40;2;7;false
40;3;1;false
40;4;1;false
40;5;1;false
41;0;3;true
41;1;7;true
41;2;2;true
41;3;1;true
41;4;1;true
41;5;1;true
42;0;3;false
42;1;2;true
42;2;1;true
42;3;1;true
42;4;1;true
42;5;1;true
43;0;2;true
43;1;1;true
43;2;7;false
43;3;7;false
43;4;6;true
43;5;1;false
44;0;2;true
44;1;3;true
44;2;1;true
44;3;1;true
44;4;7;false
44;5;7;true
45;0;7;false
45;1;7;true
45;2;7;true
45;3;1;true
45;4;1;false
