pair;round;nrTurns;success
0;0;4;true
0;1;1;true
0;2;2;false
0;3;1;true
0;4;1;true
0;5;4;true
1;0;2;true
1;1;1;true
1;2;1;true
1;3;1;false
1;4;1;true
1;5;2;true
2;0;3;true
2;1;3;true
2;2;1;true
2;3;2;true
2;4;1;true
2;5;1;true
3;0;3;true
3;1;2;true
3;2;1;true
3;3;1;true
3;4;1;false
3;5;1;false
4;0;2;true
4;1;1;true
4;2;1;true
4;3;1;true
4;4;4;true
4;5;7;false
5;0;2;true
5;1;1;true
5;2;1;true
5;3;1;true
5;4;1;true
5;5;1;false
6;0;7;true
6;1;7;true
6;2;7;false
6;3;1;false
6;4;1;false
6;5;1;true
7;0;7;false
7;1;7;true
7;2;7;false
7;3;1;true
7;4;1;false
7;5;1;false
8;0;2;true
8;1;1;true
8;2;4;true
8;3;1;true
8;4;1;true
8;5;7;false
9;0;5;true
9;1;1;true
9;2;1;true
9;3;7;false
9;4;2;true
9;5;7;true
10;0;2;true
10;1;7;true
10;2;2;true
10;3;7;false
10;4;4;true
10;5;2;true
11;0;3;true
11;1;1;true
11;2;1;true
11;3;1;true
11;4;1;true
11;5;1;true
12;0;7;true
12;1;4;true
12;2;1;true
12;3;7;true
12;4;4;false
12;5;1;true
13;0;5;false
13;1;1;true
13;2;1;true
13;3;7;false
13;4;7;true
13;5;3;true
14;0;7;false
14;1;7;true
14;2;7;false
14;3;1;false
14;4;1;true
14;5;1;false
15;0;2;true
15;1;1;true
15;2;1;true
15;3;1;true
15;4;1;false
15;5;1;false
16;0;4;true
16;1;3;true
16;2;7;true
16;3;7;true
16;4;2;false
16;5;1;false
17;0;2;true
17;1;1;true
17;2;2;true
17;3;1;true
17;4;1;true
17;5;7;true
18;0;2;true
18;1;1;true
18;2;1;true
18;3;1;false
18;4;1;true
18;5;1;true
19;0;6;true
19;1;3;true
19;2;3;true
19;3;1;true
19;4;1;true
19;5;1;true
20;0;5;true
20;1;1;true
20;2;7;true
20;3;1;true
20;4;1;true
20;5;7;true
21;0;2;true
21;1;7;false
21;2;7;true
21;3;6;true
21;4;1;true
21;5;1;false
22;0;7;false
22;1;2;true
22;2;1;true
22;3;2;true
22;4;1;true
22;5;1;true
23;0;2;true
23;1;2;true
23;2;1;true
23;3;7;true
23;4;7;false
23;5;6;true
24;0;5;false
24;1;1;true
24;2;1;true
24;3;7;false
24;4;7;false
24;5;3;false
25;0;7;false
25;1;2;true
25;2;5;true
25;3;7;false
25;4;1;false
25;5;1;true
26;0;4;true
26;1;1;true
26;2;1;true
26;3;1;true
26;4;1;true
26;5;1;true
27;0;3;true
27;1;1;false
27;2;1;true
27;3;2;true
27;4;1;true
27;5;1;true
28;0;7;false
28;1;1;false
28;2;7;false
28;3;7;false
28;4;1;true
28;5;1;false
29;0;5;true
29;1;7;true
29;2;6;true
29;3;4;false
29;4;1;true
29;5;1;true
30;0;2;true
30;1;1;false
30;2;1;true
30;3;1;true
30;4;1;true
30;5;1;true
31;0;6;true
31;1;1;true
31;2;2;false
31;3;1;false
31;4;1;true
31;5;1;false
32;0;6;true
32;1;7;true
32;2;5;false
32;3;5;true
32;4;1;false
32;5;1;false
33;0;7;false
33;1;7;true
33;2;7;true
33;3;1;false
33;4;1;false
33;5;1;true
34;0;3;true
34;1;3;true
34;2;7;true
34;3;5;true
34;4;1;true
34;5;5;true
35;0;2;true
35;1;1;false
35;2;1;true
35;3;1;true
35;4;1;false
35;5;1;true
36;0;7;false
36;1;7;true
36;2;7;false
36;3;1;true
36;4;1;true
36;5;1;true
37;0;7;false
37;1;1;true
37;2;7;false
37;3;7;false
37;4;2;true
37;5;1;false
38;0;2;true
38;1;7;false
38;2;1;true
38;3;7;true
38;4;6;true
38;5;1;true
39;0;2;true
39;1;1;true
39;2;2;true
39;3;2;true
39;4;1;true
39;5;1;true
40;0;6;false
40;1;1;true
40;2;2;true
40;3;3;false
40;4;7;false
40;5;5;true
41;0;2;true
41;1;7;true
41;2;7;true
41;3;7;true
41;4;2;false
41;5;1;false
42;0;7;true
42;1;4;false
42;2;1;false
42;3;1;true
42;4;1;true
42;5;1;true
43;0;2;false
43;1;1;true
43;2;2;true
43;3;1;true
43;4;1;true
43;5;1;true
44;0;2;true
44;1;1;true
44;2;1;false
44;3;1;true
44;4;1;true
44;5;1;true
45;0;3;true
45;1;3;false
45;2;7;false
45;3;7;false
45;4;3;false
45;5;1;true
46;0;5;false
46;1;1;false
46;2;7;true
46;3;7;false
46;4;3;false
46;5;1;true
47;0;2;true
47;1;1;true
47;2;1;true
47;3;1;false
47;4;1;true
47;5;1;true
48;0;4;false
48;1;7;false
48;2;7;false
48;3;4;false
48;4;1;false
48;5;1;false
49;0;4;false
49;1;3;true
49;2;2;false
49;3;1;false
49;4;2;true
49;5;1;false
50;0;2;true
50;1;2;true
50;2;1;true
50;3;1;true
50;4;1;true
50;5;7;true
51;0;4;true
51;1;7;false
51;2;7;false
51;3;4;false
51;4;1;true
51;5;1;true
52;0;2;true
52;1;7;false
52;2;7;true
52;3;6;false
52;4;1;true
52;5;1;true
53;0;7;false
53;1;7;true
53;2;7;true
53;3;1;true
53;4;1;false
53;5;1;false
54;0;3;true
54;1;7;true
54;2;7;false
54;3;5;true
54;4;1;false
54;5;1;false
55;0;3;true
55;1;1;true
55;2;6;false
55;3;1;true
55;4;7;true
55;5;7;false
56;0;3;true
56;1;1;true
56;2;1;true
56;3;1;true
56;4;1;false
56;5;1;true
57;0;5;true
57;1;4;false
57;2;1;false
57;3;1;true
57;4;7;false
57;5;7;true
58;0;2;true
58;1;1;true
58;2;1;true
58;3;1;false
58;4;1;false
58;5;1;false
59;0;2;true
59;1;7;true
59;2;1;true
59;3;7;true
59;4;6;false
59;5;1;true
60;0;3;true
60;1;1;true
60;2;1;true
60;3;1;false
60;4;1;true
60;5;1;true
61;0;3;true
61;1;7;false
61;2;7;false
61;3;2;true
61;4;4;false
61;5;1;false
62;0;2;true
62;1;1;true
62;2;1;false
62;3;1;false
62;4;1;true
62;5;1;true
63;0;3;true
63;1;1;true
63;2;1;true
63;3;1;true
63;4;1;true
63;5;2;true
64;0;7;true
64;1;7;true
64;2;7;false
64;3;1;true
64;4;1;true
64;5;1;false
65;0;7;true
65;1;7;false
65;2;1;true
65;3;1;true
65;4;4;true
65;5;4;true
66;0;7;false
66;1;7;false
66;2;7;false
66;3;1;false
66;4;1;false
66;5;1;true
67;0;2;false
67;1;7;true
67;2;7;true
67;3;7;true
67;4;1;false
67;5;1;false
68;0;5;false
68;1;7;true
68;2;7;false
68;3;4;false
68;4;1;true
68;5;1;true
69;0;2;false
69;1;1;true
69;2;1;true
69;3;1;true
69;4;1;true
